年号一,年号二,公元
乾隆十八,乾隆癸酉,1753
乾隆十九,乾隆甲戌,1754
乾隆二十,乾隆乙亥,1755
乾隆二十一,乾隆丙子,1756
乾隆二十二,乾隆丁丑,1757
乾隆二十三,乾隆戊寅,1758
乾隆二十四,乾隆己卯,1759
乾隆二十五,乾隆庚辰,1760
乾隆二十六,乾隆辛巳,1761
乾隆二十七,乾隆壬午,1762
乾隆二十八,乾隆癸未,1763
乾隆二十九,乾隆甲申,1764
乾隆三十,乾隆乙酉,1765
乾隆三十一,乾隆丙戌,1766
乾隆三十二,乾隆丁亥,1767
乾隆三十三,乾隆戊子,1768
乾隆三十四,乾隆己丑,1769
乾隆三十五,乾隆庚寅,1770
乾隆三十六,乾隆辛卯,1771
乾隆三十七,乾隆壬辰,1772
乾隆三十八,乾隆癸巳,1773
乾隆三十九,乾隆甲午,1774
乾隆四十,乾隆乙未,1775
乾隆四十一,乾隆丙申,1776
乾隆四十二,乾隆丁酉,1777
乾隆四十三,乾隆戊戌,1778
乾隆四十四,乾隆己亥,1779
乾隆四十五,乾隆庚子,1780
乾隆四十六,乾隆辛丑,1781
乾隆四十七,乾隆壬寅,1782
乾隆四十八,乾隆癸卯,1783
乾隆四十九,乾隆甲辰,1784
乾隆五十,乾隆乙巳,1785
乾隆五十一,乾隆丙午,1786
乾隆五十二,乾隆丁未,1787
乾隆五十三,乾隆戊申,1788
乾隆五十四,乾隆己酉,1789
乾隆五十五,乾隆庚戌,1790
乾隆五十六,乾隆辛亥,1791
乾隆五十七,乾隆壬子,1792
乾隆五十八,乾隆癸丑,1793
乾隆五十九,乾隆甲寅,1794
乾隆六十,乾隆乙卯,1795
嘉庆元,嘉庆丙辰,1796
嘉庆二,嘉庆丁巳,1797
嘉庆三,嘉庆戊午,1798
嘉庆四,嘉庆己未,1799
嘉庆五,嘉庆庚申,1800
嘉庆六,嘉庆辛酉,1801
嘉庆七,嘉庆壬戌,1802
嘉庆八,嘉庆癸亥,1803
嘉庆九,嘉庆甲子,1804
嘉庆十,嘉庆乙丑,1805
嘉庆十一,嘉庆丙寅,1806
嘉庆十二,嘉庆丁卯,1807
嘉庆十三,嘉庆戊辰,1808
嘉庆十四,嘉庆己巳,1809
嘉庆十五,嘉庆庚午,1810
嘉庆十六,嘉庆辛未,1811
嘉庆十七,嘉庆壬申,1812
嘉庆十八,嘉庆癸酉,1813
嘉庆十九,嘉庆甲戌,1814
嘉庆二十,嘉庆乙亥,1815
嘉庆二十一,嘉庆丙子,1816
嘉庆二十二,嘉庆丁丑,1817
嘉庆二十三,嘉庆戊寅,1818
嘉庆二十四,嘉庆己卯,1819
嘉庆二十五,嘉庆庚辰,1820
道光元,道光辛巳,1821
道光二,道光壬午,1822
道光三,道光癸未,1823
道光四,道光甲申,1824
道光五,道光乙酉,1825
道光六,道光丙戌,1826
道光七,道光丁亥,1827
道光八,道光戊子,1828
道光九,道光己丑,1829
道光十,道光庚寅,1830
道光十一,道光辛卯,1831
道光十二,道光壬辰,1832
道光十三,道光癸巳,1833
道光十四,道光甲午,1834
道光十五,道光乙未,1835
道光十六,道光丙申,1836
道光十七,道光丁酉,1837
道光十八,道光戊戌,1838
道光十九,道光己亥,1839
道光二十,道光庚子,1840
道光二十一,道光辛丑,1841
道光二十二,道光壬寅,1842
道光二十三,道光癸卯,1843
道光二十四,道光甲辰,1844
道光二十五,道光乙巳,1845
道光二十六,道光丙午,1846
道光二十七,道光丁未,1847
道光二十八,道光戊申,1848
道光二十九,道光己酉,1849
道光三十,道光庚戌,1850
咸丰元,咸丰辛亥,1851
咸丰二,咸丰壬子,1852
咸丰三,咸丰癸丑,1853
咸丰四,咸丰甲寅,1854
咸丰五,咸丰乙卯,1855
咸丰六,咸丰丙辰,1856
咸丰七,咸丰丁巳,1857
咸丰八,咸丰戊午,1858
咸丰九,咸丰己未,1859
咸丰十,咸丰庚申,1860
咸丰十一,咸丰辛酉,1861
同治元,同治壬戌,1862
同治二,同治癸亥,1863
同治三,同治甲子,1864
同治四,同治乙丑,1865
同治五,同治丙寅,1866
同治六,同治丁卯,1867
同治七,同治戊辰,1868
同治八,同治己巳,1869
同治九,同治庚午,1870
同治十,同治辛未,1871
同治十一,同治壬申,1872
同治十二,同治癸酉,1873
同治十三,同治甲戌,1874
光绪元,光绪乙亥,1875
光绪二,光绪丙子,1876
光绪三,光绪丁丑,1877
